,Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,Book_Average_Rating,Book_Ratings_Count,Genre,Publisher_Revenue,Sale_Price,Sale_Rank,Publisher,Units_Sold,Sale_Disc
424,2001.0,Shopaholic Abroad,Sophie Kinsella,en-US,Intermediate,3.75,93498,genre fiction,881.274,7.69,468,Penguin Group (USA) LLC,5157,39657.33
426,2010.0,Linger,Maggie Stiefvater,en-US,Intermediate,3.91,125363,genre fiction,0.0,1.99,471,"Amazon Digital Services,  Inc.",5103,10154.97
429,2009.0,The Gathering Storm,"Robert Jordan, Brandon Sanderson",eng,Excellent,4.34,94095,genre fiction,0.0,3.99,473,"Amazon Digital Services,  Inc.",5076,20253.24
431,2012.0,Point of Retreat,Colleen Hoover,eng,Excellent,4.3,109344,genre fiction,0.0,0.99,475,"Amazon Digital Services,  Inc.",5049,4998.51
432,1997.0,The Partner,John Grisham,es,Intermediate,3.89,86870,genre fiction,0.0,3.99,476,"Amazon Digital Services,  Inc.",5049,20145.51
434,2009.0,Thoughtless,S.C. Stephens,eng,Excellent,4.12,90483,genre fiction,668.484,5.99,478,Penguin Group (USA) LLC,5022,30081.78
437,2006.0,Cleopatra: A Life,Stacy Schiff,eng,Intermediate,3.62,73994,genre fiction,0.0,0.99,483,"Amazon Digital Services,  Inc.",4941,4891.59
438,2005.0,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,en-US,Intermediate,3.66,78271,genre fiction,326.508,2.99,485,Hachette Book Group,4914,14692.86
439,2013.0,Steelheart,Brandon Sanderson,eng,Excellent,4.16,76261,genre fiction,745.836,6.83,486,Penguin Group (USA) LLC,4914,33562.62
442,2009.0,The Happiness Project,Gretchen Rubin,eng,Intermediate,3.57,94456,genre fiction,106.326,0.99,491,"Amazon Digital Services,  Inc.",4833,4784.67
447,2012.0,Shadow of Night,Deborah Harkness,eng,Excellent,4.04,97925,genre fiction,745.464,6.98,494,"Amazon Digital Services,  Inc.",4806,33545.880000000005
448,2014.0,Leaving Time,Jodi Picoult,eng,Intermediate,3.94,76553,fiction,105.138,0.99,495,"Amazon Digital Services,  Inc.",4779,4731.21
